lon,lat
-133.491413,-52.988421
-132.694104,-52.997105
-131.896573,-53.000000
-131.099041,-52.997105
-130.301732,-52.988421
-129.504868,-52.973953
-128.708671,-52.953707
-127.913360,-52.927693
-127.119154,-52.895923
-126.326271,-52.858413
-125.534922,-52.815180
-124.745321,-52.766244
-123.957674,-52.711629
-123.172185,-52.651360
-122.389056,-52.585464
-121.608481,-52.513972
-120.830653,-52.436916
-120.055758,-52.354332
-119.283977,-52.266256
-118.515487,-52.172728
-117.750458,-52.073789
-116.989055,-51.969481
-116.231436,-51.859850
-115.477754,-51.744943
-114.728156,-51.624808
-113.982781,-51.499495
-113.241763,-51.369055
-112.505229,-51.233542
-111.773300,-51.093010
-111.046088,-50.947514
-110.323702,-50.797111
-109.606242,-50.641859
-108.893802,-50.481815
-108.186469,-50.317040
-107.484324,-50.147594
-106.787442,-49.973538
-106.095891,-49.794932
-105.409733,-49.611840
-104.729025,-49.424323
-104.053815,-49.232445
-103.384149,-49.036268
-102.720065,-48.835856
-102.061596,-48.631271
-101.408769,-48.422579
-100.761607,-48.209842
-100.120127,-47.993123
-99.484341,-47.772487
-98.854258,-47.547995
-98.229880,-47.319712
-97.611206,-47.087699
-96.998232,-46.852020
-96.390947,-46.612736
-95.789339,-46.369909
-95.193391,-46.123600
-94.603082,-45.873869
-94.018390,-45.620778
-93.439288,-45.364385
-92.865746,-45.104750
-92.297732,-44.841930
-91.735211,-44.575985
-91.178146,-44.306971
-90.626497,-44.034945
-90.080222,-43.759962
-89.539278,-43.482078
-89.003618,-43.201347
-88.473195,-42.917823
-87.947961,-42.631560
-87.427865,-42.342608
-86.912854,-42.051021
-86.402876,-41.756848
-85.897876,-41.460140
-85.397800,-41.160946
-84.902590,-40.859314
-84.412191,-40.555292
-83.926543,-40.248928
-83.445590,-39.940267
-82.969271,-39.629355
-82.497528,-39.316237
-82.030300,-39.000957
-81.567528,-38.683557
-81.109151,-38.364081
-80.655108,-38.042570
-80.205339,-37.719066
-79.759783,-37.393608
-79.318379,-37.066236
-78.881066,-36.736989
-78.447783,-36.405906
-78.018471,-36.073023
-77.593067,-35.738378
-77.171513,-35.402007
-76.753748,-35.063946
-76.339712,-34.724229
-75.929346,-34.382890
-75.522590,-34.039964
-75.119386,-33.695483
-74.719675,-33.349480
-74.323399,-33.001986
-73.930501,-32.653033
-73.540923,-32.302651
-73.154609,-31.950871
-72.771502,-31.597722
-72.391546,-31.243232
-72.014686,-30.887431
-71.640867,-30.530347
-71.270035,-30.172006
-70.902136,-29.812436
-70.537116,-29.451663
-70.174923,-29.089713
-69.815504,-28.726612
-69.458808,-28.362384
-69.104783,-27.997055
-68.753378,-27.630648
-68.404544,-27.263187
-68.058231,-26.894695
-67.714390,-26.525195
-67.372972,-26.154710
-67.033928,-25.783262
-66.697212,-25.410873
-66.362777,-25.037563
-66.030576,-24.663354
-65.700562,-24.288266
-65.372691,-23.912320
-65.046918,-23.535535
-64.723197,-23.157931
-64.401486,-22.779528
-64.081740,-22.400344
-63.763917,-22.020398
-63.447973,-21.639708
-63.133868,-21.258293
-62.821559,-20.876170
-62.511004,-20.493356
-62.202164,-20.109869
-61.894999,-19.725726
-61.589467,-19.340944
-61.285530,-18.955538
-60.983148,-18.569526
-60.682284,-18.182922
-60.382899,-17.795744
-60.084954,-17.408006
-59.788413,-17.019724
-59.493238,-16.630913
-59.199393,-16.241587
-58.906841,-15.851763
-58.615547,-15.461453
-58.325473,-15.070673
-58.036586,-14.679436
-57.748850,-14.287757
-57.462231,-13.895649
-57.176693,-13.503127
-56.892203,-13.110203
-56.608727,-12.716891
-56.326231,-12.323204
-56.044682,-11.929155
-55.764047,-11.534758
-55.484292,-11.140025
-55.205387,-10.744968
-54.927297,-10.349601
-54.649992,-9.953936
-54.373439,-9.557984
-54.097606,-9.161759
-53.822462,-8.765273
-53.547975,-8.368537
-53.274115,-7.971563
-53.000851,-7.574364
-52.728151,-7.176951
-52.455986,-6.779336
-52.184324,-6.381530
-51.913136,-5.983546
-51.642390,-5.585394
-51.372057,-5.187086
-51.102108,-4.788633
-50.832512,-4.390047
-50.563239,-3.991339
-50.294259,-3.592520
-50.025544,-3.193601
-49.757063,-2.794594
-49.488788,-2.395510
-49.220688,-1.996359
-48.952734,-1.597154
-48.684898,-1.197904
-48.417149,-0.798621
-48.149458,-0.399316
-47.881797,-0.000000
